# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,unit,minStockLevel,minMarginPct,warrantyPeriod,mrp,type,packSize,almm,dcrCompliant,modelSeries,lifecycleStatus,applicableRegions,priceListVersion,productFamily,customerTierPrice,specs,supplierSku
Eastman Grid Tie Inverter 3KW 1Ph v2,EAS-GTI-1P-3KW,Eastman,Grid Tie Inverter - 1 Phase,Single phase on-grid solar inverter 3KW,14390,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT3K1P-V2,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 3, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 3.6KW 1Ph,EAS-GTI-1P-3K6,Eastman,Grid Tie Inverter - 1 Phase,Single phase on-grid solar inverter 3.6KW,14580,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT-3.6K-1P:1M,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 3.6, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 4KW 1Ph,EAS-GTI-1P-4KW,Eastman,Grid Tie Inverter - 1 Phase,Single phase on-grid solar inverter 4KW,15650,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT-4K-1P:1M,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 4, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 5KW 1Ph,EAS-GTI-1P-5KW,Eastman,Grid Tie Inverter - 1 Phase,Single phase on-grid solar inverter 5KW,22940,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT5K1P1M,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 5, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 6KW 1Ph,EAS-GTI-1P-6KW,Eastman,Grid Tie Inverter - 1 Phase,Single phase on-grid solar inverter 6KW,23790,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT-6K-1P:1M,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 6, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 5KW 3Ph,EAS-GTI-3P-5KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 5KW,37020,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES5KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 5, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 6KW 3Ph,EAS-GTI-3P-6KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 6KW,38750,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES6KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 6, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 8KW 3Ph,EAS-GTI-3P-8KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 8KW,42060,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES8KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 8, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 10KW 3Ph,EAS-GTI-3P-10KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 10KW,42950,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES10KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 10, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 15KW 3Ph,EAS-GTI-3P-15KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 15KW,51270,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES15KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 15, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 20KW 3Ph,EAS-GTI-3P-20KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 20KW,55010,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES20KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 20, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 30KW 3Ph,EAS-GTI-3P-30KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 30KW,91830,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,ES30KWT-GT-3P:2M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 30, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 50KW 3Ph,EAS-GTI-3P-50KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 50KW,130260,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT-50K-3P4M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 50, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 60KW 3Ph,EAS-GTI-3P-60KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 60KW,136930,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT-60K-3P4M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 60, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 110KW 3Ph,EAS-GTI-3P-110KW,Eastman,Grid Tie Inverter - 3 Phase,Three phase on-grid solar inverter 110KW,223320,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT-110K-3P4M,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 110, ""phase"": ""3P""}",
Eastman GTI Accessory Single Phase CT 100A,EAS-GTI-ACC-CT100A,Eastman,GTI Accessory,Single Phase CT 100A,620,,,30,18,9030,pcs,10,15,1 Year,,goods,1,,,Single Phase CT 100A,active,,Apr-26-v1,Eastman GTI Accessories,,{},
Eastman GTI Accessory Three Phase Meter 150A with CT,EAS-GTI-ACC-3PM150A,Eastman,GTI Accessory,Three Phase Meter 150A with CT,9050,,,30,18,90281090,pcs,10,15,1 Year,,goods,1,,,Three Phase Meter 150A with CT,active,,Apr-26-v1,Eastman GTI Accessories,,{},
Eastman GTI Accessory GPS Dongle without SIM Recharge,EAS-GTI-ACC-GPSDGL,Eastman,GTI Accessory,GPS Dongle without SIM Recharge,1074,,,30,18,85269190,pcs,10,15,1 Year,,goods,1,,,GPS Dongle without SIM recharge,active,,Apr-26-v1,Eastman GTI Accessories,,{},
Eastman Solar Battery EM150SB 150Ah,EAS-BAT-EM150SB,Eastman,Solar Battery - Lead Acid,Eastman 150Ah solar variant lead acid tubular battery,11070,,,20,18,85072000,pcs,3,12,60+60 Months,,goods,1,,,EM150SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 150, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",
Eastman Solar Battery EM200SB 200Ah,EAS-BAT-EM200SB,Eastman,Solar Battery - Lead Acid,Eastman 200Ah solar variant lead acid tubular battery,13470,,,20,18,85072000,pcs,3,12,60+60 Months,,goods,1,,,EM200SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 200, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",
