name,sku,brand,category,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,unit,minStockLevel,minMarginPct,warrantyPeriod,mrp,type,packSize,almm,dcrCompliant,modelSeries,lifecycleStatus,applicableRegions,priceListVersion,productFamily,customerTierPrice,specs,supplierSku
Eastman Grid Tie Inverter 3KW 1Ph,EAS-GTI-1P-3KW,Eastman,Grid Tie Inverter — 1 Phase,Single phase on-grid solar inverter 3KW,14590,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 3, ""phase"": ""1P""}",EGT3K1P
Eastman Grid Tie Inverter 3.6KW 1Ph,EAS-GTI-1P-3K6,Eastman,Grid Tie Inverter — 1 Phase,Single phase on-grid solar inverter 3.6KW,14780,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 3.6, ""phase"": ""1P""}",EGT-3.6K-1P:1M
Eastman Grid Tie Inverter 4KW 1Ph,EAS-GTI-1P-4KW,Eastman,Grid Tie Inverter — 1 Phase,Single phase on-grid solar inverter 4KW,15650,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 4, ""phase"": ""1P""}",EGT-4K-1P:1M
Eastman Grid Tie Inverter 5KW 1Ph,EAS-GTI-1P-5KW,Eastman,Grid Tie Inverter — 1 Phase,Single phase on-grid solar inverter 5KW,22940,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 5, ""phase"": ""1P""}",EGT5K1P1M
Eastman Grid Tie Inverter 6KW 1Ph,EAS-GTI-1P-6KW,Eastman,Grid Tie Inverter — 1 Phase,Single phase on-grid solar inverter 6KW,23790,,,18,5,85044090,pcs,2,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 1 Phase,,"{""capacity_kw"": 6, ""phase"": ""1P""}",EGT-6K-1P:1M
Eastman Grid Tie Inverter 5KW 3Ph,EAS-GTI-3P-5KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 5KW,37020,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 5, ""phase"": ""3P""}",ES5KWT-GT-3P:2M
Eastman Grid Tie Inverter 6KW 3Ph,EAS-GTI-3P-6KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 6KW,38750,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 6, ""phase"": ""3P""}",ES6KWT-GT-3P:2M
Eastman Grid Tie Inverter 8KW 3Ph,EAS-GTI-3P-8KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 8KW,42060,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 8, ""phase"": ""3P""}",ES8KWT-GT-3P:2M
Eastman Grid Tie Inverter 10KW 3Ph,EAS-GTI-3P-10KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 10KW,42950,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 10, ""phase"": ""3P""}",ES10KWT-GT-3P:2M
Eastman Grid Tie Inverter 15KW 3Ph,EAS-GTI-3P-15KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 15KW,51270,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 15, ""phase"": ""3P""}",ES15KWT-GT-3P:2M
